Unnamed: 0,listing_url,last_scraped,description,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,room_type_encoded
178,https://www.airbnb.com/rooms/4372384,2024-09-05,"Including continental breakfast provided as room service, the Iris Room, located in our Garden Cottage, is named after the magnificent iris bulbs flowering in Spring in the back garden. <br /><br />It is a spacious queen room, with ensuite bathroom, and is well equipped for either short or longer stays, with microwave, bar fridge and full crockery supplied.  Arm chairs are positioned in the bay window to relax and enjoy our garden and views of the Inglis River.",https://www.airbnb.com/users/show/22700250,2014-10-19,within an hour,100%,100%,f,"['email', 'phone']",t,Neighborhood highlights,Waratah/Wynyard,Room in bed and breakfast,Hotel room,"[""Dishes and silverware"", ""TV"", ""Hangers"", ""Children\u2019s books and toys"", ""Hair dryer"", ""First aid kit"", ""Crib"", ""Microwave"", ""Heating"", ""Free parking on premises"", ""Wifi"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Single level home"", ""Waterfront"", ""Toaster"", ""Fire extinguisher"", ""Coffee maker"", ""Paid dryer"", ""Saville Row shampoo"", ""Host greets you"", ""Long term stays allowed"", ""Washer"", ""High chair"", ""Breakfast"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Freezer"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Saville Row body soap"", ""Hot water kettle"", ""Saville Row conditioner"", ""Bed linens"", ""Portable fans"", ""Smoke alarm"", ""Wine glasses"", ""Refrigerator"", ""Essentials"", ""Shared backyard \u2013 Fully fenced"", ""Iron"", ""Hot water""]",t,2024-09-05,2018-07-28,2024-08-17,No cuenta con licencia,t,4372384,22700250.0,3.0,5.0,2.0,1.0,1.0,1.0,160.0,1.0,1125.0,11,15.0,38.0,261.0,10.0,1.0,1.0,5.0,5.0,5.0,4.9,5.0,3.0,0.0,0.0,0.0,0.13,3
307,https://www.airbnb.com/rooms/6391530,2024-09-05,"The Racecourse Inn was purpose built in 1860 as a coaching inn, and has been offering accommodation ever since.  This beautiful building is surrounded by established gardens, with some rare and unusual trees and shrubs, and abundant roses in spring & summer.  Guests are welcome to enjoy our beautiful cottage gardens, and to use the outdoor BBQ.  <br /><br />The Racecourse Inn is the perfect base for exploring historic Longford (established 1813), the Tamar Valley wine route and the Northern Midlands.",https://www.airbnb.com/users/show/33324258,2015-05-13,No hay tiempo de respuesta,No hay porcentaje de respuesta,No hay porcentaje de aceptacion,f,"['email', 'phone']",t,Neighborhood highlights,Northern Midlands,Room in bed and breakfast,Hotel room,"[""TV"", ""Hangers"", ""Children\u2019s books and toys"", ""Hair dryer"", ""First aid kit"", ""Crib"", ""Indoor fireplace"", ""Heating"", ""Free parking on premises"", ""Shampoo"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Baby bath"", ""Extra pillows and blankets"", ""Free street parking"", ""Shared backyard \u2013 Not fully fenced"", ""High chair"", ""Breakfast"", ""Luggage dropoff allowed"", ""Iron"", ""BBQ grill"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2015-11-15,2019-12-12,No cuenta con licencia,t,6391530,33324258.0,3.0,6.0,2.0,1.0,1.0,1.0,180.0,1.0,1125.0,0,38.81,61.53,217.37,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.02,3
308,https://www.airbnb.com/rooms/6392189,2024-09-05,"PIONEER LODGE Open fire, Kitchen , Trout Fishing Pioneer Lake 5 min walk, Derby Bikes tracks 10 min Drive. 4+4 & Motorbikes, Bush Walks In the area.<br />This booking allocates the entire lodge and is for 6 guests or more.        Please check other listings for Pioneer Lodge for Couples, Singles or Smaller groups. Now with  Wifi + Foxtel",https://www.airbnb.com/users/show/33329640,2015-05-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,100%,f,"['email', 'phone']",t,neighborhood not highlighted,Dorset,Room in bed and breakfast,Hotel room,"[""Dishes and silverware"", ""Hair dryer"", ""First aid kit"", ""Microwave"", ""Indoor fireplace"", ""Heating"", ""Free parking on premises"", ""Fireplace guards"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Cooking basics"", ""Oven"", ""Lake access"", ""Host greets you"", ""Long term stays allowed"", ""Washer"", ""Breakfast"", ""Kitchen"", ""Iron"", ""Stove"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2015-11-05,2024-01-28,No cuenta con licencia,t,6392189,33329640.0,6.0,6.0,10.0,1.0,5.0,3.0,200.0,1.0,1125.0,29,59.0,89.0,364.0,26.0,5.0,0.0,4.93,4.91,4.97,4.92,4.92,6.0,0.0,0.0,0.0,0.24,3
453,https://www.airbnb.com/rooms/9905527,2024-09-05,"Romantic retreat for short stay guests, larger than a hotel room, panoramic views.<br />Private, parking at the door, prepare light meals.",https://www.airbnb.com/users/show/4547789,2013-01-01,within a few hours,100%,90%,f,"['email', 'phone']",t,Neighborhood highlights,West Tamar,Room in serviced apartment,Hotel room,"[""Dishes and silverware"", ""TV"", ""Hangers"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Free parking on premises"", ""Shampoo"", ""Air conditioning"", ""Coffee maker"", ""Lake access"", ""Backyard"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Iron"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2016-11-20,2024-09-01,No cuenta con licencia,f,9905527,4547789.0,7.0,12.0,2.0,1.0,1.0,1.0,120.0,2.0,60.0,27,57.0,87.0,131.0,36.0,15.0,1.0,4.86,4.83,4.97,4.89,4.92,7.0,6.0,0.0,0.0,0.38,3
627,https://www.airbnb.com/rooms/13519271,2024-09-05,"Hosted Bed and Breakfast, offering 3 guest rooms all with a bathroom. Price is per room, per night. Wake up to the sounds of birds and the view of the Huon River.<br />Enjoy a full continental and country style cooked breakfast, fresh from our garden and local producers before venturing out to explore the many attractions the Huon Valley.<br />Ambience on Huon - a place to be shared!",https://www.airbnb.com/users/show/77652944,2016-06-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,No hay porcentaje de aceptacion,f,"['email', 'phone']",t,Neighborhood highlights,Huon Valley,Room in bed and breakfast,Hotel room,"[""Heating"", ""Free parking on premises"", ""Shampoo"", ""Wifi"", ""TV"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""First aid kit""]",t,2024-09-05,2016-11-12,2016-11-12,No cuenta con licencia,t,13519271,77652944.0,3.0,3.0,2.0,1.0,3.0,1.0,280.0,3.0,1125.0,0,38.81,61.53,147.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.01,3
841,https://www.airbnb.com/rooms/16454736,2024-09-05,"Hosted Bed and Breakfast, offering 3 guest rooms all with a bathroom. Price is per room, per night. Wake up to the sounds of birds and the view of the Huon River.<br />Enjoy a full continental and country style cooked breakfast, fresh from our garden and local producers before venturing out to explore the many attractions the Huon Valley.<br />Ambience on Huon - a place to be shared!",https://www.airbnb.com/users/show/77652944,2016-06-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,No hay porcentaje de aceptacion,f,"['email', 'phone']",t,neighborhood not highlighted,Huon Valley,Room in bed and breakfast,Hotel room,"[""Heating"", ""Free parking on premises"", ""Shampoo"", ""Wifi"", ""TV"", ""Hangers"", ""Essentials""]",t,2024-09-05,2018-05-05,2022-04-24,No cuenta con licencia,t,16454736,77652944.0,3.0,3.0,2.0,1.0,0.0,1.0,280.0,1.0,1125.0,0,38.81,61.53,147.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.03,3
842,https://www.airbnb.com/rooms/16454815,2024-09-05,"Hosted Bed and Breakfast, offering 3 guest rooms all with a bathroom. Price is per room, per night. Wake up to the sounds of birds and the view of the Huon River.<br />Enjoy a full continental and country style cooked breakfast, fresh from our garden and local producers before venturing out to explore the many attractions the Huon Valley.<br />Ambience on Huon - a place to be shared!",https://www.airbnb.com/users/show/77652944,2016-06-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,No hay porcentaje de aceptacion,f,"['email', 'phone']",t,neighborhood not highlighted,Huon Valley,Room in bed and breakfast,Hotel room,"[""Heating"", ""Free parking on premises"", ""Shampoo"", ""Wifi"", ""TV"", ""Hangers"", ""Essentials""]",t,2024-09-05,2023-12-25,2024-09-01,No cuenta con licencia,t,16454815,77652944.0,3.0,3.0,2.0,1.0,1.0,1.0,280.0,1.0,1125.0,0,38.81,61.53,147.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,4.9,3.0,0.0,0.0,0.0,1.5,3
864,https://www.airbnb.com/rooms/16590855,2024-09-05,"My place is close to Derby Bike Tracks, Pioneer Lake, Bushland. My place is good for couples and solo adventurers. Now with  Wifi + Foxtel",https://www.airbnb.com/users/show/33329640,2015-05-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,100%,f,"['email', 'phone']",t,neighborhood not highlighted,Dorset,Room in bed and breakfast,Hotel room,"[""Dishes and silverware"", ""First aid kit"", ""Microwave"", ""Indoor fireplace"", ""Heating"", ""Free parking on premises"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Cooking basics"", ""Dryer"", ""Oven"", ""Host greets you"", ""Washer"", ""Breakfast"", ""Kitchen"", ""Iron"", ""Stove"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2017-01-18,2022-04-26,No cuenta con licencia,t,16590855,33329640.0,6.0,6.0,2.0,1.0,1.0,3.0,200.0,1.0,1125.0,30,60.0,90.0,365.0,15.0,0.0,0.0,4.93,4.91,4.97,4.96,4.92,6.0,0.0,0.0,0.0,0.16,3
865,https://www.airbnb.com/rooms/16591806,2024-09-05,"My place is close to Derby Bike Trails, Pioneer Lake + Bushland. My place is good for couples and solo adventurers. Now with Wifi + Foxtel",https://www.airbnb.com/users/show/33329640,2015-05-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,100%,f,"['email', 'phone']",t,neighborhood not highlighted,Dorset,Room in bed and breakfast,Hotel room,"[""Dishes and silverware"", ""First aid kit"", ""Microwave"", ""Indoor fireplace"", ""Heating"", ""Free parking on premises"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Cooking basics"", ""Dryer"", ""Oven"", ""Lake access"", ""Host greets you"", ""Washer"", ""Breakfast"", ""Kitchen"", ""Iron"", ""Stove"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2018-02-12,2023-03-13,No cuenta con licencia,t,16591806,33329640.0,6.0,6.0,2.0,2.0,1.0,1.0,110.0,1.0,1125.0,30,60.0,90.0,365.0,6.0,0.0,0.0,5.0,4.91,4.97,5.0,4.92,6.0,0.0,0.0,0.0,0.08,3
866,https://www.airbnb.com/rooms/16591901,2024-09-05,"My place is close to Derby Bike Trails, Pioneer Lake + Bushland. My place is good for couples and solo adventurers. Now with  Wifi + Foxtel",https://www.airbnb.com/users/show/33329640,2015-05-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,100%,f,"['email', 'phone']",t,neighborhood not highlighted,Dorset,Room in bed and breakfast,Hotel room,"[""Dishes and silverware"", ""First aid kit"", ""Microwave"", ""Indoor fireplace"", ""Heating"", ""Free parking on premises"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Cooking basics"", ""Dryer"", ""Oven"", ""Lake access"", ""Host greets you"", ""Washer"", ""Breakfast"", ""Kitchen"", ""Iron"", ""Stove"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2017-06-05,2024-02-23,No cuenta con licencia,t,16591901,33329640.0,6.0,6.0,2.0,2.0,2.0,1.0,110.0,1.0,1125.0,30,60.0,90.0,365.0,12.0,2.0,0.0,4.93,4.75,4.97,4.92,4.92,6.0,0.0,0.0,0.0,0.14,3
867,https://www.airbnb.com/rooms/16591972,2024-09-05,"My place is close to Derby Bike Trail, Pioneer Lake + Bushland. My place is good for couples and solo adventurers. Now with  Wifi + Foxtel",https://www.airbnb.com/users/show/33329640,2015-05-14,No hay tiempo de respuesta,No hay porcentaje de respuesta,100%,f,"['email', 'phone']",t,neighborhood not highlighted,Dorset,Room in bed and breakfast,Hotel room,"[""Dishes and silverware"", ""Refrigerator"", ""First aid kit"", ""Microwave"", ""Indoor fireplace"", ""Free parking on premises"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Cooking basics"", ""Dryer"", ""Lake access"", ""Host greets you"", ""Washer"", ""Breakfast"", ""Kitchen"", ""Iron"", ""Stove"", ""Bed linens"", ""Smoke alarm"", ""Oven"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2017-03-12,2022-04-16,No cuenta con licencia,t,16591972,33329640.0,6.0,6.0,2.0,2.0,1.0,2.0,106.0,1.0,1125.0,30,60.0,90.0,365.0,15.0,0.0,0.0,4.93,4.93,4.87,4.93,4.92,6.0,0.0,0.0,0.0,0.16,3
